word	frequency
ma	4231
grateful	4231
cheap	4230
massive	4229
tank	4229
kevin	4224
airport	4218
convinced	4216
site	4215
lonely	4205
carl	4199
horror	4199
joseph	4195
steve	4193
activity	4184
shed	4179
somewhat	4178
boyfriend	4175
collection	4174
salt	4174
freedom	4171
value	4168
eve	4151
charlotte	4150
silly	4144
occasionally	4128
chicago	4125
intended	4122
jeff	4122
assumed	4120
kick	4114
ryan	4108
civil	4104
devil	4099
louis	4089
stretch	4089
structure	4086
pleasant	4080
trade	4079
ya	4069
coach	4067
favor	4058
appearance	4048
girlfriend	4047
prayer	4047
percent	4044
swimming	4043
ward	4041
exchange	4039
chase	4038
pounds	4035
surprising	4029
justice	4028
excitement	4027
alarm	4024
lieutenant	4022
range	4016
load	4013
title	3992
princess	3991
chamber	3988
filling	3978
extended	3976
lobby	3974
changing	3962
spanish	3962
cotton	3954
arrive	3952
monster	3952
nation	3944
linda	3944
exit	3944
guilty	3940
chocolate	3940
foreign	3938
apple	3932
separate	3931
released	3930
brilliant	3926
repeat	3925
toilet	3925
claimed	3924
damage	3918
heavily	3914
attached	3903
fate	3899
gain	3892
simon	3884
lisa	3882
monitor	3880
individual	3878
border	3878
trash	3878
throughout	3877
emerged	3874
swing	3866
route	3862
slide	3861
driven	3850
provide	3845
maintain	3844
doc	3830
access	3826
mystery	3822
success	3821
robin	3820
platform	3808
josh	3807
theater	3805
advice	3804
matthew	3804
quarter	3803
dave	3799
china	3793
behavior	3793
endless	3792
cheese	3791
eager	3791
baseball	3787
creek	3784
gordon	3784
innocent	3783
device	3781
tear	3778
pretend	3772
inner	3771
trick	3771
code	3770
jamie	3768
texas	3764
secretary	3763
egg	3757
piano	3757
jones	3754
terror	3748
survive	3746
faced	3746
fancy	3745
register	3745
julie	3743
victor	3738
bike	3735
contain	3731
mile	3731
amazing	3730
string	3728
dried	3720
dishes	3717
jean	3711
southern	3708
o'clock	3708
soup	3707
latest	3706
successful	3702
hunting	3699
species	3690
deer	3686
ridiculous	3685
breast	3684
credit	3681
fail	3680
russian	3678
warned	3670
forgive	3666
total	3664
proved	3663
dare	3663
spare	3662
available	3660
japanese	3657
hired	3656
studio	3653
medicine	3652
dean	3650
mixed	3643
boston	3641
height	3641
suspected	3641
wing	3640
culture	3639
appreciate	3639
existence	3637
whoever	3629
she'll	3627
amber	3623
trial	3621
museum	3617
pace	3617
trapped	3612
ted	3611
british	3608
killer	3608
gathering	3604
beast	3604
terms	3602
phil	3602
drag	3601
measure	3598
flower	3596
create	3595
italian	3593
swear	3593
rate	3582
crystal	3581
continuous	3580
require	3578
guide	3574
text	3567
fed	3562
lane	3558
estate	3556
gear	3553
struggled	3552
roy	3551
offer	3546
crash	3544
senior	3535
complex	3535
jesse	3515
launch	3506
sandy	3497
union	3495
describe	3494
morgan	3494
modern	3493
seed	3492
request	3486
trace	3483
martha	3483
stock	3482
downtown	3482
mental	3471
fashion	3470
talent	3463
lincoln	3463
progress	3457
hook	3457
actual	3453
ignore	3449
april	3448
practically	3444
corn	3440
instrument	3438
raw	3434
august	3432
challenge	3429
poetry	3429
switch	3428
rule	3427
circumstances	3427
santa	3426
tour	3423
passion	3423
responsible	3412
meanwhile	3407
drugs	3406
liquid	3406
stolen	3402
fortune	3386
raising	3385
monday	3381
rick	3380
guilt	3377
poem	3376
shell	3371
gary	3370
published	3369
juice	3367
branch	3366
described	3364
mars	3361
selling	3357
suspect	3353
mere	3353
christian	3350
contract	3350
customers	3348
imagination	3348
potential	3345
los	3344
conference	3340
inch	3336
provided	3335
landscape	3329
impression	3329
hip	3329
dumb	3328
july	3326
reflection	3326
electric	3324
struggling	3323
football	3315
garbage	3310
barry	3308
intelligence	3304
harm	3304
precious	3302
occasional	3294
horrible	3289
divorce	3288
pat	3281
release	3280
crossing	3280
drug	3273
spell	3270
bullet	3268
popular	3257
saving	3254
advantage	3253
western	3241
mouse	3241
explanation	3236
rid	3230
confusion	3230
cancer	3227
disappointed	3216
interior	3215
gather	3209
sentence	3207
jay	3205
gravity	3205
cute	3200
relax	3193
wan	3192
shown	3187
discuss	3187
exposed	3187
intense	3185
kelly	3183
relative	3180
trans-	3177
satisfied	3176
jewish	3168
passage	3168
royal	3167
fabric	3167
suffering	3166
arrival	3166
defense	3159
virginia	3153
jennifer	3153
solution	3152
routine	3149
shelter	3146
scott	3136
strip	3132
regard	3130
healthy	3129
native	3126
courage	3126
excellent	3121
rice	3121
saint	3120
alan	3114
handful	3113
term	3110
jail	3110
fifth	3105
ha	3103
location	3102
destroyed	3102
remote	3101
tale	3101
attractive	3099
jury	3097
temperature	3094
expert	3090
quality	3088
connected	3080
sexual	3076
introduced	3076
agency	3073
jackson	3073
preferred	3073
happiness	3072
vacation	3069
wise	3066
mayor	3058
continuing	3055
rent	3055
wayne	3055
absence	3054
regret	3053
attitude	3050
